Date,Series,Value
2018-10-04,Volume Intensity,0.2839
2018-10-05,Volume Intensity,0.2843
2018-10-06,Volume Intensity,0.2617
2018-10-07,Volume Intensity,0.2677
2018-10-08,Volume Intensity,0.2481
2018-10-09,Volume Intensity,0.249
2018-10-10,Volume Intensity,0.2515
2018-10-11,Volume Intensity,0.2429
2018-10-12,Volume Intensity,0.2598
2018-10-13,Volume Intensity,0.2617
2018-10-14,Volume Intensity,0.2695
2018-10-15,Volume Intensity,0.2688
2018-10-16,Volume Intensity,0.2634
2018-10-17,Volume Intensity,0.2626
2018-10-18,Volume Intensity,0.2635
2018-10-19,Volume Intensity,0.2502
2018-10-20,Volume Intensity,0.2617
2018-10-21,Volume Intensity,0.2479
2018-10-22,Volume Intensity,0.2453
2018-10-23,Volume Intensity,0.2401
2018-10-24,Volume Intensity,0.2392
2018-10-25,Volume Intensity,0.2422
2018-10-26,Volume Intensity,0.2235
2018-10-27,Volume Intensity,0.2711
2018-10-28,Volume Intensity,0.2767
2018-10-29,Volume Intensity,0.289
2018-10-30,Volume Intensity,0.285
2018-10-31,Volume Intensity,0.2857
2018-11-01,Volume Intensity,0.2867
2018-11-02,Volume Intensity,0.2418
2018-11-03,Volume Intensity,0.2359
2018-11-04,Volume Intensity,0.2368
2018-11-05,Volume Intensity,0.2495
2018-11-06,Volume Intensity,0.2432
2018-11-07,Volume Intensity,0.2375
2018-11-08,Volume Intensity,0.2542
2018-11-09,Volume Intensity,0.264
2018-11-10,Volume Intensity,0.2434
2018-11-11,Volume Intensity,0.2425
2018-11-12,Volume Intensity,0.2634
2018-11-13,Volume Intensity,0.2785
2018-11-14,Volume Intensity,0.2898
2018-11-15,Volume Intensity,0.312
2018-11-16,Volume Intensity,0.3488
2018-11-17,Volume Intensity,0.3483
2018-11-18,Volume Intensity,0.357
2018-11-19,Volume Intensity,0.3525
2018-11-20,Volume Intensity,0.3385
2018-11-21,Volume Intensity,0.3145
2018-11-22,Volume Intensity,0.3031
2018-11-23,Volume Intensity,0.2964
2018-11-24,Volume Intensity,0.2956
2018-11-25,Volume Intensity,0.3224
2018-11-26,Volume Intensity,0.3366
2018-11-27,Volume Intensity,0.3455
2018-11-28,Volume Intensity,0.3491
2018-11-29,Volume Intensity,0.354
2018-11-30,Volume Intensity,0.3412
2018-12-01,Volume Intensity,0.306
2018-12-02,Volume Intensity,0.2872
2018-12-03,Volume Intensity,0.2895
2018-12-04,Volume Intensity,0.2854
2018-12-05,Volume Intensity,0.2849
2018-12-06,Volume Intensity,0.2845
2018-12-07,Volume Intensity,0.2896
2018-12-08,Volume Intensity,0.3166
2018-12-09,Volume Intensity,0.3377
